,text
118,"Stream @WhoIsAkinn man, I'm f**king hyped! https://t.co/1NOHXZ7pVa"
119,"Watch RM wander an art gallery in the serene  ‘Me, Myself, and RM: Entirety’ photo book teaser https://t.co/OEpTnDdZrQ"
120,made a little music video! full MV here: https://t.co/HqKhkm8fBE https://t.co/xrAYI7SesK
121,"Please I’m not the biggest artiste in Nigeria or Africa so please I need your support, no matter how small 🙏🏽 Stream , share , listen , gossip , dance etc 
please do anything to push this project far and beyond ❤️

https://t.co/y3KrVJGkEG"
122,MAJO 🔥🔥🔥🔥😤😤😤😤https://t.co/4yHrKthEx5
123,"#jhope has advanced into the second round of voting for the Individual FANNSTAR CHOICE Award!!

the winner will be receiving the award at the 2022 THE FACT MUSIC AWARDS

start collecting GPoint now on FAN N STAR to prepare for the voting!!

#jhope_Arson #jhope_MORE @BTS_twt https://t.co/HgCWMEahaq"
124,golcha finally winning best music video award AS THEY SHOULD
125,"i mean they are so prepared for this comeback like from the scheduler to concept photos and videos and now meron na silang countdown for the release of music video ng #WYAT

@SB19Official #SB19 
#WhereYouAtSB19 📼"
126,"#GeekyGoingsOn @GeekyBrummie
Thurs 8 Sept @TheMillBham New Purple Celebration The Music of #Prince 

https://t.co/rCRVipV7Uk https://t.co/LTdPfXXWUe"
127,THE FACT THAT THEY CHOSE TO RELEASE THE AUDIO AND MUSIC VIDEO FOR #WYAT AT THAT TIME ONLY SHOWS THAT THEY ARE AIMING FOR INTERNATIONAL AUDIENCE AS WELL. THEY WANT THIS THIS AS MUCH AS WE DO!!! SB19 WORLD DOMINATION!! @SB19Official #SB19
128,"what's ur expectation about WYAT? audio and music video? reply with tags please~

@SB19Official #WYAT 
#SB19 #WhereYouAtSB19 📼"
129,📷 Thursday #Vibes . . #YoungIncome #YoungIncomeMusic #Music #Instagram #Twitter #Tumblr #HipHop #Rapper #Rap #Rapstar #Worldwide #International #Africa #Nigeria #9ja #Lifestyle #Jedi4Life #Photo #Picture #Buzzing #God #Zeus #Allah... https://t.co/ZmLPebDFtM
130,"and yall know what’s the best part about this win? they’re complete. all 7 of them were there when the award was given to them. even their first music show win, they were complete. 

#드림캐쳐_2022HDA #Deukae_HeartDreamAwards
@hf_dreamcatcher https://t.co/iIGt3moNJB"
131,"✈️ BLACKPINK at Incheon International Airport today, leaving for ‘2022 MTV Video Music Awards’ 💗 @BLACKPINK @ygofficialblink https://t.co/UBMmKU41Ru"
132,.@BLACKPINK nails #PinkVenom dance practice in a new performance video  https://t.co/an5x76suza
133,"Afro beats Music videos ain’t movies, stop looking for storyline where storyline no Dey, sometimes music videos are made to create aesthetics n make u feel good, song wey no get storyline or direction you Dey find papa and mama drama inside."
134,".@TXT_members won ""K Global Best Music Award"" at the 2022 K Global Heart Dream Awards. https://t.co/TBJbcC30SV"
135,"Twitter Party is underway to chart @SB19Official's new single #WYAT. Please engage in all W/YAT tweets and threads, with music-relevant texts and correct tags. 
The world must discover the Philippines' best bet as the next global breakout artists.
Lezzgo, A'tin!"
136,"I hope that everyone is ready for the release of #WYAT Music Video.

Please check the post of @AtinStreamers_ for the proper Youtube streaming guidelines.

@SB19Official"
137,@adiIahmxd Yeah cos loud music causes you to drive at 140mph..inshaAllah!
138,"🐿 we’re on tour right now and i promise we’ll finish our tour safely and repay you with good music and performances 

🐧 (in english) its happy to be here and...thank you. thank you for your support and we have our concert left, please look forward to us

https://t.co/gK0WMR0AMY"
139,"after watching the “DUYAN MAKING” i can't say anything but i'm so proud of you, your passion for music is so great, i love you so much sarah nothing will change even if you ghost me/us i still love you, love you again @JustSarahG 

DUYAN THE MAKING

#SarahGeronimo_dreamawards https://t.co/1yEQFWnpEZ"
140,@mockerybitch The music suddenly stoppes.
141,"🥇 IVE wins ROTY so far :

• Hanteo Music Awards 🏆
• Mubeat Awards 🏆
• K Global Heart Dream Awards 🏆

#IVE3rdROTY #IVE https://t.co/pWL7BTSS0c"
142,"“Right now we are hearing about fraudulent methods. I hope you make your music fairly and honestly.”

            -Kim Seokjin [MAMA 2019]
https://t.co/MNxWXCEY2f"
143,"txt won the ‘best music’ award at the k-global heart dream awards 2022!! 

@TXT_members @TXT_bighit  https://t.co/FuKPgugQ9R"
144,"@SB19Official Wow for the aga ang release w/countdown pa kasama ang boys. Ramdam ko na ang new era. Excited to see #WYAT MV &amp; listen on all digital music platforms.

@SB19Official
#SB19 #WhereYouAtSB19"
145,reminder that our goal for blackpink’s pink venom music video is 200M views for first week. we have less than 1 day until first week ends and we’re at 187.7M views rn. let’s push to reach our goal so please don’t forget youtube as well 🙏
146,SEVENTEEN are teaming up with @AnneMarie on a rework of their song '_World' https://t.co/sXdeAR0PP3
147,this is the most insane resume in music history  https://t.co/Ipno8logh9
148,THE FACT THAT THEY CHOSE TO RELEASE THE AUDIO AND MUSIC VIDEO FOR #WYAT AT THAT TIME ONLY SHOWS THAT THEY ARE AIMING FOR INTERNATIONAL AUDIENCE AS WELL. THEY WANT THIS THIS AS MUCH AS WE DO!!! SB19 WORLD DOMINATION!! @SB19Official #SB19
149,"I watched the 2013 Headies award show yesterday on Hip Tv,I saw how all this guys robbed Burna boy on all his nominations,He deserved two awards(Next rated,Best music) but was ignored for reasons best known to themselves,Here are we in 2022 and Burna is the biggest African artist"
